planta,empresa,tipo_de_generacion,renovable,ano,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre,y,x
Otros20,Otros20,Otros,TRUE,2020,"77,346.76","69,203.38","68,935.38","169,916.71","155,451.30","156,851.30","153,783.10","172,948.86","171,520.34","198,114.80","195,030.96","197,746.46",9.036862,-79.526034
Fortuna,Enel,Hidroelectrica,TRUE,2021,"163,247.54","162,377.76","162,377.76","161,040.47","165,246.73","187,159.94","166,416.34","144,861.21","159,625.07","122,544.17","113,338.63","165,971.40",8.71139,-82.171363
Bayano,AES Pmá,Hidroelectrica,TRUE,2021,"36,671.01","56,175.05","56,175.05","67,073.81","51,222.20","98,037.79","83,465.62","59,085.80","43,761.23","29,302.37","29,108.41","45,107.22",9.176422,-78.884683
Estrella,AES Pma,Hidroelectrica,TRUE,2021,"17,080.84","11,723.95","11,723.95","18,059.74","17,389.99","15,972.64","17,116.67","18,930.20","18,867.15","21,123.24","16,974.96","16,481.12",9.385218,-79.816099
Valles,AES Pma,Hidroelectrica,TRUE,2021,"20,193.96",0,0,"11,330.49","21,907.67","22,440.90","22,586.50","27,587.29","28,986.23","30,030.60","24,208.15","19,895.24",8.677877,-82.347535
Esti,AES Pma,Hidroelectrica,TRUE,2021,"37,290.25","31,354.79","31,354.79","41,590.31","45,662.58","53,215.11","51,662.58","64,473.31","72,538.43","71,898.98","51,410.07","39,137.98",8.543417,-82.347535
Changinola,AES Chan,Hidroelectrica,TRUE,2021,"74,616.93","60,913.81","60,913.81","123,332.14","142,683.90","95,201.50","109,173.73","117,927.05","78,128.89","97,266.45","82,246.53","55,360.88",9.236601,-82.494667
Gas Natural,AES Colon,Biogas,TRUE,2021,663.4,"1,244.10","1,244.10","1,658.37","104,031.31","65,913.33","111,893.88","50,795.56","35,741.16","112,327.54","143,896.79","235,545.88",9.337907,-79.906678
Alternegy (Lorena y Prudencia),Celsia,Hidroelectrica,TRUE,2021,"23,217.73","7,168.69","7,168.69","19,972.04","27,946.02","33,683.32","38,710.25","37,776.56","36,114.41","39,332.22","32,058.52","15,364.94",8.454849,-82.333574
Bontex (Gualaca),Celsia,Hidroelectrica,TRUE,2021,"6,984.62","5,838.95","5,838.95","7,479.89","8,931.49","10,312.31","10,736.81","10,071.51","10,826.84","13,199.24","9,841.66","7,582.83",8.534064,-82.296393
IDB (Cativa),Celsia,Termica,FALSE,2021,"2,571.37","7,748.16","7,748.16",941.61,"4,559.53","2,099.07","1,814.80","1,335.76","9,647.18","13,423.03","5,165.04","10,247.92",9.378744,-79.823024
Bahia las minas,Celsia,Termica,FALSE,2021,"100,139.08","139,921.88","139,921.88","72,897.61",101.09,192.492,248.844,83.582,"1,664.14","4,316.97",741.594,"1,099.02",9.376598,-79.823112
Pan Am,Pan Am,Termica,FALSE,2021,0,"7,748.16",0,941.61,"2,155.37",919.282,"1,795.70",406.25,28.961,352.779,"38,999.10","79,179.91",8.908544,-79.780931
Ideal (Baitun y Bajo de Mina),Ideal,Hidroelectrica,TRUE,2021,"33,449.59","21,369.44","21,369.44","36,453.98","51,096.54","58,589.56","56,707.65","82,359.83","85,110.71","96,689.55","70,652.03","35,703.56",8.7163,-82.832601
RP 490,Hidro Piedra,Hidroelectrica,TRUE,2021,"6,221.14","5,140.00","5,140.00","6,849.72","22,664.00","21,552.17","20,356.76","32,279.21","14,090.99","14,203.98","12,165.71","7,271.33",8.589347,-82.585566
Monte Lirio,Eisa,Hidroelectrica,TRUE,2021,"36,539.59","26,299.59","26,299.59","33,976.57","5,824.34","2,905.41","3,954.64","6,170.65","51,046.71","49,196.21","45,966.19","40,144.09",8.769129,-82.82191
El Alto,Hidro Caisan,Hidroelectrica,TRUE,2021,"13,024.19","9,402.27","9,402.27","5,920.27","10,531.64","10,907.46","10,080.22","13,134.78","32,588.30","40,198.43","29,170.91","14,521.28",8.758936,-82.834571
Bajo Frio,Fountain,Hidroelectrica,TRUE,2021,"10,752.08","6,340.65","6,340.65","12,991.97","48,717.53","47,015.54","43,434.68","49,557.00","33,005.77","38,377.82","27,239.01","12,087.08",8.594327,-82.786603
Bonyic,Eco Teribe,Hidroelectrica,TRUE,2021,"8,938.96","9,084.02","9,084.02","17,568.04","24,991.71","23,265.60","21,430.40","31,478.46","12,854.13","12,216.71","7,716.80","7,923.34",9.324656,-82.641349
ACP,ACP,Termica,FALSE,2021,"1,722.77","13,207.13","13,207.13",49.239,"19,365.30","14,419.75","13,974.27","18,077.83","23,614.34","13,560.92","13,095.43",474.707,9.000324,-79.590556
Avanzalia,Avanzalia,Solar,TRUE,2021,0,0,"23,970.28","13,087.57","12,260.40","14,443.89","14,487.63","14,530.65","15,310.15","15,689.95","16,055.61","19,244.42",8.50496,-80.369249
Minera  Pma,Minera Pma,Termica ,FALSE,2021,"6,155.75","12,781.71",0,"127,376.25","13,353.14","13,652.87","20,353.14","25,850.00","5,405.38","1,019.04","3,421.71",0.873,8.843636,-80.63519
Otros21,Otros21,Otros,TRUE,2021,"186,852.43","212,674.40","198,223.17","140,463.82","144,609.21","136,655.34","157,127.87","160,704.77","182,379.49","187,867.22","162,174.08","170,775.07",9.036862,-79.526034
